gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,ni,sale,costat
014084,2023-12-31,2023,INDL,C,D,STD,AIN,ALBANY INTL CORP  -CL A,USD,1835.0140,111.1200,1147.9090,A
014113,2023-09-30,2023,INDL,C,D,STD,MITK,MITEK SYSTEMS INC,USD,405.3750,8.0270,172.5520,A
014172,2023-12-31,2023,INDL,C,D,STD,FULT,FULTON FINANCIAL CORP,USD,27571.9150,284.2800,1500.9140,A
014219,2023-12-31,2023,INDL,C,D,STD,CADE,CADENCE BANK,USD,48934.5100,542.3040,2200.5240,A
014225,2023-12-31,2023,INDL,C,D,STD,FAST,FASTENAL CO,USD,4462.9000,1155.0000,7346.7000,A
014253,2023-12-31,2023,INDL,C,D,STD,WABC,WESTAMERICA BANCORPORATION,USD,6364.5920,161.7680,327.2570,A
014269,2023-12-31,2023,INDL,C,D,STD,HLF,HERBALIFE LTD,USD,2809.4000,142.2000,5062.4000,A
014282,2023-12-31,2023,INDL,C,D,STD,APH,AMPHENOL CORP,USD,16526.4000,1928.0000,12554.7000,A
014309,2023-12-31,2023,INDL,C,D,STD,IPAR,INTER PARFUMS INC,USD,1369.3290,152.6540,1317.6750,A
014311,2023-12-31,2023,INDL,C,D,STD,PII,POLARIS INC,USD,5516.3000,502.8000,8934.4000,A
014359,2023-12-31,2023,INDL,C,D,STD,PXD,PIONEER NATURAL RESOURCES CO,USD,36613.0000,4894.0000,19374.0000,A
014369,2023-12-31,2023,INDL,C,D,STD,USM,US CELLULAR CORP,USD,10750.0000,54.0000,3906.0000,A
014370,2023-12-31,2023,INDL,C,D,STD,MAN,MANPOWERGROUP,USD,8830.2000,88.8000,18914.5000,A
014401,2023-12-31,2023,INDL,C,D,STD,ITIC,INVESTORS TITLE CO,USD,330.5590,21.6860,224.7500,A
014403,2023-12-31,2023,INDL,C,D,STD,DX,DYNEX CAPITAL INC,USD,6369.7500,-6.1300,130.4500,A
014418,2023-12-31,2023,INDL,C,D,STD,MGM,MGM RESORTS INTERNATIONAL,USD,42368.5480,1144.3080,16164.2490,A
014477,2023-12-31,2023,INDL,C,D,STD,WM,WASTE MANAGEMENT INC,USD,32823.0000,2304.0000,20426.0000,A
014489,2023-01-31,2022,INDL,C,D,STD,DELL,DELL TECHNOLOGIES INC,USD,89611.0000,2442.0000,102301.0000,A
014535,2023-12-31,2023,INDL,C,D,STD,SSP,EW SCRIPPS  -CL A,USD,5410.1200,-947.7840,2292.9120,A
014551,2023-12-31,2023,INDL,C,D,STD,SAMG,SILVERCREST ASSET MGT,USD,199.5740,9.0940,117.4100,A
014561,2023-06-30,2023,INDL,C,D,STD,COHR,COHERENT CORP,USD,13711.1330,-259.4580,5160.1000,A
014590,2023-12-31,2023,INDL,C,D,STD,FCX,FREEPORT-MCMORAN INC,USD,52506.0000,1848.0000,22855.0000,A
014603,2023-04-30,2022,INDL,C,D,STD,CDMO,AVID BIOSERVICES INC,USD,451.0540,0.5600,149.2660,A
014624,2023-12-31,2023,INDL,C,D,STD,ODP,ODP CORP,USD,3886.0000,139.0000,7831.0000,A
014790,2023-12-31,2023,INDL,C,D,STD,MTH,MERITAGE HOMES CORP,USD,6353.1340,738.7480,6138.2630,A
014793,2023-12-31,2023,INDL,C,D,STD,ARCH,ARCH RESOURCES INC,USD,2484.1730,464.0380,3145.8430,A
014822,2023-12-31,2023,INDL,C,D,STD,WRB,BERKLEY (W R) CORP,USD,37202.0150,1381.3590,12126.1950,A
014824,2023-12-31,2023,INDL,C,D,STD,CINF,CINCINNATI FINANCIAL CORP,USD,32769.0000,1843.0000,10013.0000,A
